Type,Block,Street Name,Postal,Latitude,Longitude
HDB,312,YISHUN RING RD,760312,1.431416566,103.8414574
HDB,312A,ANCHORVALE LANE,541312,1.391733742,103.8851556
HDB,312A,SUMANG LINK,821312,1.410819269,103.9003717
HDB,312B,ANCHORVALE LANE,542312,1.391734219,103.8854978
HDB,312B,SUMANG LINK,822312,1.411353096,103.9006147
HDB,312C,CLEMENTI AVE 4,123312,1.319522679,103.7640251
HDB,312C,SUMANG LINK,823312,1.410907282,103.9011861
HDB,313,ANG MO KIO AVE 3,560313,1.366649726,103.8501337
HDB,313,BT BATOK ST 32,650313,1.360250272,103.747783
HDB,313,JURONG EAST ST 32,600313,1.34715456,103.7333487
HDB,313,SEMBAWANG DR,751313,1.444107048,103.8212779
HDB,313,SERANGOON AVE 2,550313,1.353239298,103.8652493
HDB,313,SHUNFU RD,570313,1.351519255,103.8372288
HDB,313,TAMPINES ST 33,520313,1.352217048,103.9568041
HDB,313,UBI AVE 1,400313,1.329060222,103.9038994
HDB,313,WOODLANDS ST 31,730313,1.430803873,103.7761724
HDB,313A,ANCHORVALE RD,541313,1.39158552,103.8875199
HDB,313A,SUMANG LINK,821313,1.409851841,103.9019953
HDB,313B,ANCHORVALE RD,542313,1.391348504,103.8880124
HDB,313B,SUMANG LINK,822313,1.410239547,103.9021436
HDB,313C,ANCHORVALE RD,543313,1.391839031,103.8879959
HDB,313C,SUMANG LINK,823313,1.410628851,103.9015519
HDB,313D,ANCHORVALE RD,544313,1.392150619,103.8875632
HDB,314,ANG MO KIO AVE 3,560314,1.366227071,103.8500859
HDB,314,BT BATOK ST 32,651314,1.360249952,103.7468339
HDB,314,HOUGANG AVE 5,530314,1.364779267,103.8944206
HDB,314,JURONG EAST ST 32,600314,1.346653511,103.7332752
HDB,314,SEMBAWANG DR,750314,1.4436987,103.8211922
HDB,314,SERANGOON AVE 2,550314,1.352922097,103.8655184
HDB,314,TAMPINES ST 33,520314,1.352217026,103.9571261
HDB,314,UBI AVE 1,400314,1.329294526,103.9036348
HDB,314,WOODLANDS ST 31,730314,1.431190724,103.7760741
HDB,314,YISHUN RING RD,760314,1.431731417,103.8417528
HDB,314A,ANCHORVALE LINK,541314,1.390963468,103.8891468
HDB,314B,ANCHORVALE LINK,542314,1.391049862,103.8888467
HDB,314B,PUNGGOL WAY,822314,1.407897787,103.8973708
HDB,314C,ANCHORVALE LINK,543314,1.3914676,103.8889643
HDB,314D,ANCHORVALE LINK,544314,1.391426582,103.8892534
HDB,315,BT BATOK ST 32,650315,1.360096376,103.746561
HDB,315,CLEMENTI AVE 4,120315,1.318470366,103.7654195
HDB,315,JURONG EAST ST 32,600315,1.346034329,103.7328505
HDB,315,SEMBAWANG VISTA,750315,1.446866084,103.8206086
HDB,315,SERANGOON AVE 2,550315,1.352934458,103.8659708
HDB,315,TAMPINES ST 33,520315,1.3521417,103.9574479
HDB,315,UBI AVE 1,400315,1.329540236,103.9034039
HDB,315,WOODLANDS ST 31,730315,1.431476406,103.7758462
HDB,315A,ANCHORVALE RD,541315,1.39194188,103.8890185
HDB,315A,ANG MO KIO ST 31,562315,1.364218315,103.8468615
HDB,315A,PUNGGOL WAY,821315,1.408316774,103.897053
HDB,315A,YISHUN AVE 9,761315,1.432383854,103.8423841
HDB,315B,ANCHORVALE RD,542315,1.392178232,103.8883232
HDB,315B,ANG MO KIO ST 31,563315,1.364027573,103.8474787
HDB,315B,PUNGGOL WAY,822315,1.407956027,103.8964008
HDB,315B,YISHUN AVE 9,762315,1.431930856,103.842565
HDB,315C,ANCHORVALE RD,543315,1.392344145,103.8880498
HDB,315C,YISHUN AVE 9,763315,1.432367366,103.8433009
HDB,316,BT BATOK ST 32,650316,1.360576605,103.746834
HDB,316,CLEMENTI AVE 4,120316,1.318470095,103.7645261
HDB,316,HOUGANG AVE 7,530316,1.364975847,103.8968099
HDB,316,JURONG EAST ST 32,600316,1.346006527,103.7320798
HDB,316,SEMBAWANG VISTA,751316,1.446468791,103.8204842
HDB,316,SERANGOON AVE 2,550316,1.353011337,103.8664718
HDB,316,TAMPINES ST 33,521316,1.351623487,103.9572066
HDB,316,UBI AVE 1,400316,1.329429595,103.9027868
HDB,316,WOODLANDS ST 31,730316,1.431508971,103.7763618
HDB,316A,ANCHORVALE LINK,541316,1.392590704,103.889372
HDB,316A,ANG MO KIO ST 31,562316,1.364765986,103.8469079
HDB,316A,YISHUN AVE 9,761316,1.433355307,103.8427051
HDB,316B,ANCHORVALE LINK,542316,1.392849379,103.8888208
HDB,316B,YISHUN AVE 9,762316,1.432869321,103.8426976
HDB,316C,ANCHORVALE LINK,543316,1.393161626,103.888371
HDB,316C,PUNGGOL WAY,823316,1.408975775,103.8970248
HDB,316C,YISHUN AVE 9,763316,1.432923061,103.8434727
HDB,316D,PUNGGOL WAY,824316,1.408793114,103.8968121
HDB,317,ANG MO KIO ST 31,560317,1.365624783,103.8470115
HDB,317,BT BATOK ST 32,650317,1.360639765,103.7476384
HDB,317,CLEMENTI AVE 4,121317,1.317749353,103.7644217
HDB,317,HOUGANG AVE 7,530317,1.365302857,103.8964545
HDB,317,JURONG EAST ST 31,600317,1.346679835,103.7311419
HDB,317,SEMBAWANG VISTA,750317,1.445934524,103.8204306
HDB,317,SERANGOON AVE 2,550317,1.352609721,103.8662221
HDB,317,TAMPINES ST 33,520317,1.351538029,103.9568979
HDB,317,UBI AVE 1,400317,1.328577578,103.9028006
HDB,317,WOODLANDS ST 31,730317,1.431895935,103.7762683
HDB,317A,ANCHORVALE RD,541317,1.393926392,103.8879582
HDB,317A,YISHUN AVE 9,761317,1.434505929,103.843292
HDB,317B,ANCHORVALE RD,542317,1.393862322,103.8885403
